is_fire,lng,lat,date,time,T2M_0h,T2M_1h,T2M_2h,T2M_3h,T2M_4h,T2MDEW_0h,T2MDEW_1h,T2MDEW_2h,T2MDEW_3h,T2MDEW_4h,T2MWET_0h,T2MWET_1h,T2MWET_2h,T2MWET_3h,T2MWET_4h,TS_0h,TS_1h,TS_2h,TS_3h,TS_4h,WS10M_0h,WS10M_1h,WS10M_2h,WS10M_3h,WS10M_4h,WS2M_0h,WS2M_1h,WS2M_2h,WS2M_3h,WS2M_4h,WD2M_0h,WD2M_1h,WD2M_2h,WD2M_3h,WD2M_4h
0,-14.862438623277257,30.17525279630765,20220101,06,20.2,20.24,20.3,20.41,20.53,17.42,17.23,16.98,16.65,16.28,18.81,18.73,18.64,18.53,18.4,20.44,20.43,20.42,20.41,20.4,4.46,4.47,4.42,4.4,4.35,3.93,3.94,3.9,3.87,3.82,138.3,139.99,142.33,145.28,148.98
0,-2.720471431399858,-74.58425015921864,20220101,03,-26.87,-27.02,-26.99,-26.88,-26.64,-26.87,-26.95,-26.88,-26.77,-26.54,-26.87,-26.99,-26.94,-26.82,-26.6,-29.75,-29.95,-29.89,-29.63,-29.22,2.06,2.34,2.53,2.74,2.89,1.24,1.38,1.47,1.56,1.63,354.22,340.85,333.43,329.33,328.75
0,1.577149436283321,-16.687102450868082,20220101,01,22.13,22.17,22.23,22.31,22.36,18.03,18.1,18.15,18.23,18.33,20.08,20.13,20.19,20.27,20.35,22.68,22.67,22.68,22.67,22.68,7.56,7.56,7.6,7.62,7.61,6.51,6.51,6.53,6.55,6.52,134.42,134.9,135.29,135.48,135.73
0,-28.77833466164228,10.880048877985772,20220101,10,26.16,26.13,26.07,25.98,25.92,22.03,22.0,21.99,21.98,21.98,24.1,24.06,24.03,23.98,23.94,26.42,26.42,26.42,26.42,26.42,6.97,6.65,6.63,6.68,6.65,6.03,5.77,5.76,5.81,5.78,50.89,50.99,53.27,54.58,55.79
0,-160.1166061902099,59.66054736851075,20220101,12,-24.71,-25.18,-25.76,-26.13,-26.24,-25.61,-26.0,-26.52,-26.86,-26.95,-25.17,-25.6,-26.13,-26.5,-26.6,-25.07,-25.42,-26.06,-26.69,-26.98,11.32,11.0,10.83,10.55,10.24,8.66,8.43,8.28,8.02,7.76,334.22,332.27,331.28,330.66,330.36
0,-173.6286544654073,-66.41514877050045,20220101,04,-0.9,-0.85,-0.8,-0.76,-0.72,-1.27,-1.21,-1.15,-1.1,-1.07,-1.09,-1.03,-0.98,-0.93,-0.89,-0.77,-0.79,-0.81,-0.81,-0.82,5.12,5.06,5.13,5.27,5.55,4.39,4.33,4.37,4.47,4.7,133.2,119.06,107.46,97.63,90.29
0,-34.44525645413853,-64.50692093775646,20220101,15,-0.76,-0.77,-0.8,-0.84,-0.88,-2.89,-2.88,-2.87,-2.85,-2.85,-1.83,-1.83,-1.84,-1.85,-1.87,-1.01,-1.01,-1.01,-1.02,-1.02,4.21,4.52,4.96,5.39,5.71,3.53,3.8,4.19,4.56,4.83,76.95,80.89,85.08,88.92,92.5
0,142.84180364990624,-51.26440414254772,20220101,04,8.98,8.94,8.97,8.98,8.94,7.05,6.95,6.87,6.86,6.74,8.01,7.94,7.92,7.91,7.84,8.96,8.95,8.94,8.94,8.93,10.87,10.32,10.13,10.12,10.21,9.05,8.62,8.47,8.46,8.53,326.69,326.31,326.82,329.55,334.28
0,28.241192179643207,22.299559854169487,20220101,14,19.23,18.84,18.15,17.19,15.9,3.07,2.86,2.97,3.36,3.89,11.15,10.85,10.56,10.28,9.9,22.38,23.23,23.12,22.0,19.84,6.62,6.59,6.57,6.72,7.13,5.4,5.43,5.43,5.54,5.81,296.53,295.68,298.81,305.64,313.31
0,16.176317291108717,-84.98550316594901,20220101,06,-28.86,-29.01,-29.17,-29.16,-28.98,-29.34,-29.47,-29.56,-29.52,-29.35,-29.1,-29.24,-29.36,-29.34,-29.17,-28.08,-28.35,-28.59,-28.79,-28.86,6.64,6.57,6.59,6.59,6.62,5.57,5.5,5.5,5.48,5.47,33.38,32.4,30.68,30.11,30.56
