,index,longitude,latitude,acq_date,acq_time,satellite
0,0,-69.765071,45.761692,2022-06-20,1525,L9
1,1,-71.08743,45.799996,2022-06-20,1525,L9
2,2,-70.553096,45.854145,2022-06-20,1525,L9
3,3,-70.702389,46.60074,2022-06-20,1525,L9
4,4,-70.864825,46.631416,2022-06-20,1525,L9
5,5,-70.370478,47.12112,2022-06-20,1525,L9
6,6,-70.476431,47.433223,2022-06-20,1525,L9
7,7,-71.830777,41.382033,2022-06-20,1526,L9
8,8,-70.281977,41.653728,2022-06-20,1526,L9
10,10,-71.106518,41.749108,2022-06-20,1526,L9
11,11,-71.823194,42.251902,2022-06-20,1526,L9
12,12,-71.022216,42.369875,2022-06-20,1526,L9
14,14,-71.91677,42.388417,2022-06-20,1526,L9
17,17,-71.152427,42.438016,2022-06-20,1526,L9
19,19,-70.888802,42.476976,2022-06-20,1526,L9
21,21,-70.851427,42.58322,2022-06-20,1526,L9
22,22,-71.455818,42.678564,2022-06-20,1526,L9
24,24,-71.306692,42.922365,2022-06-20,1526,L9
25,25,-71.476345,43.08306,2022-06-20,1526,L9
26,26,-70.862362,43.204651,2022-06-20,1526,L9
28,28,-70.386165,43.683055,2022-06-20,1526,L9
29,29,-70.18383,44.067534,2022-06-20,1526,L9
30,30,-70.425807,44.331352,2022-06-20,1526,L9
32,32,-69.725597,44.761431,2022-06-20,1526,L9
33,33,-84.885539,41.221815,2022-06-20,1616,L8
35,35,-84.921757,41.366467,2022-06-20,1616,L8
37,37,-85.011119,36.600388,2022-06-20,1617,L8
38,38,-84.584999,36.971577,2022-06-20,1617,L8
43,43,-84.126407,37.088145,2022-06-20,1617,L8
48,48,-84.473214,37.192564,2022-06-20,1617,L8
49,49,-85.216992,37.252876,2022-06-20,1617,L8
50,50,-86.033716,37.320499,2022-06-20,1617,L8
52,52,-84.469939,37.441755,2022-06-20,1617,L8
53,53,-85.997758,37.478386,2022-06-20,1617,L8
59,59,-84.294093,37.588702,2022-06-20,1617,L8
62,62,-85.847432,37.656015,2022-06-20,1617,L8
63,63,-84.273335,37.729063,2022-06-20,1617,L8
65,65,-84.888287,38.054752,2022-06-20,1617,L8
66,66,-85.753363,38.093069,2022-06-20,1617,L8
67,67,-84.805877,38.158131,2022-06-20,1617,L8
69,69,-85.844039,38.222149,2022-06-20,1617,L8
73,73,-84.331056,38.37265,2022-06-20,1617,L8
74,74,-85.15479,38.64344,2022-06-20,1617,L8
75,75,-85.755799,38.751674,2022-06-20,1617,L8
77,77,-85.035212,38.831255,2022-06-20,1617,L8
78,78,-84.884203,40.549183,2022-06-20,1617,L8
79,79,-83.760236,40.650649,2022-06-20,1617,L8
87,87,-85.122041,33.724696,2022-06-20,1618,L8
93,93,-86.098249,33.754354,2022-06-20,1618,L8
94,94,-86.379279,33.817507,2022-06-20,1618,L8
95,95,-85.229368,33.842609,2022-06-20,1618,L8
97,97,-86.791781,33.882478,2022-06-20,1618,L8
98,98,-85.714642,33.934388,2022-06-20,1618,L8
100,100,-85.277826,33.947989,2022-06-20,1618,L8
101,101,-85.169379,33.994846,2022-06-20,1618,L8
103,103,-85.044977,34.023769,2022-06-20,1618,L8
104,104,-86.326783,34.103757,2022-06-20,1618,L8
106,106,-85.180168,34.21926,2022-06-20,1618,L8
108,108,-86.303581,34.235928,2022-06-20,1618,L8
109,109,-86.053052,34.267526,2022-06-20,1618,L8
110,110,-86.413397,34.277626,2022-06-20,1618,L8
119,119,-86.550673,34.326635,2022-06-20,1618,L8
121,121,-85.092999,34.330193,2022-06-20,1618,L8
