longitude,lattitude,acq_date,acq_time
-105.8993438,46.07673753,23/5/2022,14
-125.2132918,31.87825892,6/12/2022,10
-72.78607938,43.16386155,14/11/2022,3
-68.65090537,30.90177678,5/11/2022,4
-81.20225839,30.12758281,16/11/2022,6
-74.91038917,27.74042227,11/2/2022,5
-67.68811732,29.04402941,6/9/2022,14
-108.2106315,45.60377021,22/7/2022,1
-77.90008968,30.62593952,26/2/2022,12
-106.4989217,41.32914584,22/3/2022,4
-102.40145,33.74201162,30/7/2022,15
-104.7430844,37.90816249,4/10/2022,14
-108.3899279,44.65356663,5/8/2022,2
-97.02184877,37.61606512,30/5/2022,19
-87.40225316,42.54273126,25/8/2022,5
-91.41465429,31.65696466,19/3/2022,12
-125.092816,40.22465369,30/10/2022,1
-75.40212432,32.69384418,15/9/2022,23
-111.4522965,42.79544211,6/1/2022,13
-123.3370266,25.2484905,25/9/2022,2
-68.71175258,27.09516818,7/7/2022,13
-106.1767055,25.13067729,25/3/2022,19
-89.71578082,39.24029467,16/7/2022,7
-87.7765984,47.30539907,4/10/2022,8
-113.4105674,26.00960851,14/11/2022,18
-118.8170502,44.18548389,19/4/2022,21
-109.547151,32.97714834,26/1/2022,4
-70.16371323,30.57179622,7/6/2022,6
-68.91958514,41.98862406,1/3/2022,23
-125.1234659,46.64746718,24/2/2022,3
-69.81603251,25.1086571,4/5/2022,17
-105.0257537,49.68114256,17/3/2022,19
-72.42294539,39.33964699,11/5/2022,22
-103.9613849,31.33982508,23/7/2022,7
-125.6097014,30.71281553,23/2/2022,21
-91.44050281,36.99414671,10/8/2022,22
-65.55886966,38.25944357,17/4/2022,12
-96.3412683,40.46123779,24/8/2022,3
-66.35632418,32.69269114,31/7/2022,21
-102.0631975,42.75474792,23/10/2022,7
-71.57038737,29.64751712,13/6/2022,2
-120.353633,32.75216385,23/10/2022,7
-90.37787567,28.69999326,14/8/2022,12
-98.84245112,33.44718218,11/9/2022,1
-124.2515733,41.16846354,17/9/2022,16
-89.90633253,46.65086649,28/7/2022,3
-98.8271096,37.2506982,20/2/2022,4
-92.31798415,32.80671678,30/9/2022,16
-83.38623016,45.66962487,1/6/2022,17
-111.1206402,38.60520645,23/4/2022,17
-76.95998596,40.15027889,23/8/2022,13
-76.72586622,48.49016027,11/4/2022,6
-87.90616734,47.35004808,19/11/2022,6
-114.7392714,48.59844801,28/6/2022,7
-74.38359059,45.12894727,15/10/2022,21
-99.24937478,46.62753947,1/12/2022,11
-101.999293,35.08993304,4/9/2022,4
-97.38657204,32.32117586,4/8/2022,10
-67.83115056,47.17263328,9/7/2022,1
-75.49738838,34.18536643,25/8/2022,9
-118.3948161,40.2848478,5/8/2022,18
-85.5640492,28.62831063,2/2/2022,19
-123.5800948,29.2372586,5/2/2022,1
-124.8260744,48.46226902,5/8/2022,16
-77.09286837,49.0779949,31/3/2022,8
-97.46146231,26.35780444,22/6/2022,23
-75.50967652,27.60204758,12/12/2022,19
-111.0712403,25.92285844,21/3/2022,16
-83.63978179,36.57564573,18/3/2022,1
-114.3101856,25.57058321,4/5/2022,3
-107.2306601,43.55435222,14/12/2022,1
-97.43793297,32.15774116,5/7/2022,8
-123.3078564,32.75539005,1/5/2022,4
-109.6906388,48.78007667,24/4/2022,15
-70.34301599,27.46713112,11/2/2022,21
-79.31375038,44.83090276,17/11/2022,7
-82.73891628,30.49960521,16/3/2022,23
-72.03364274,44.02681922,20/2/2022,9
-74.68278269,34.84725576,26/11/2022,1
-71.31901631,31.56888649,21/8/2022,21
-91.67085347,39.94365357,20/12/2022,9
-113.3841236,25.18453077,22/2/2022,1
-82.58461047,35.78197302,20/12/2022,21
-105.8981991,43.4722571,21/3/2022,4
