lng,lat,fire_probibility
-120.8,33.5,0.12103469669818878
-120.8,34.0,0.107768714427948
-120.8,34.5,0.062299858778715134
-120.8,35.0,0.05082451552152634
-120.8,35.5,0.0428038090467453
-120.3,33.5,0.12474077939987183
-120.3,34.0,0.08173307031393051
-120.3,34.5,0.04969838261604309
-120.3,35.0,0.00798974372446537
-120.3,35.5,0.025490496307611465
-119.8,33.5,0.12474077939987183
-119.8,34.0,0.08173307031393051
-119.8,34.5,0.04969838261604309
-119.8,35.0,0.00798974372446537
-119.8,35.5,0.025490496307611465
-119.3,33.5,0.12994664907455444
-119.3,34.0,0.07336217910051346
-119.3,34.5,0.002691023051738739
-119.3,35.0,0.0396721325814724
-119.3,35.5,0.04354245588183403
-118.8,33.5,0.125843346118927
-118.8,34.0,0.026006627827882767
-118.8,34.5,0.03515741229057312
-118.8,35.0,0.039149798452854156
-118.8,35.5,0.041404832154512405
-118.3,33.5,0.07727357745170593
-118.3,34.0,0.0013740349095314741
-118.3,34.5,0.03379766643047333
-118.3,35.0,0.03043147176504135
-118.3,35.5,0.02641897089779377
-117.8,33.5,0.07019907981157303
-117.8,34.0,0.0002733244909904897
-117.8,34.5,0.02492407150566578
-117.8,35.0,0.02094266191124916
-117.8,35.5,0.010631700977683067
-117.3,33.5,0.07019907981157303
-117.3,34.0,0.0002733244909904897
-117.3,34.5,0.02492407150566578
-117.3,35.0,0.02094266191124916
-117.3,35.5,0.010631700977683067
